open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,stock_id,date
89.195,90.83,88.58,88.8,88.8,22996681.0,0.0,1.0,2,2023-01-09
87.36,88.47,85.57,88.16,88.16,26612628.0,0.0,1.0,2,2023-01-06
88.07,88.21,86.56,86.77,86.77,23136084.0,0.0,1.0,2,2023-01-05
91.01,91.24,87.8,88.71,88.71,27046483.0,0.0,1.0,2,2023-01-04
89.83,91.55,89.02,89.7,89.7,20738457.0,0.0,1.0,2,2023-01-03
87.365,88.83,87.03,88.73,88.73,19190296.0,0.0,1.0,2,2022-12-30
87.03,89.365,86.99,88.95,88.95,18280660.0,0.0,1.0,2,2022-12-29
87.5,88.52,86.3701,86.46,86.46,17879567.0,0.0,1.0,2,2022-12-28
89.31,89.5,87.535,87.93,87.93,15470870.0,0.0,1.0,2,2022-12-27
87.62,90.1,87.62,89.81,89.81,17815010.0,0.0,1.0,2,2022-12-23
88.93,89.18,86.9401,88.26,88.26,23656066.0,0.0,1.0,2,2022-12-22
89.73,90.915,88.91,90.25,90.25,20336387.0,0.0,1.0,2,2022-12-21
88.73,89.78,88.04,89.63,89.63,21976846.0,0.0,1.0,2,2022-12-20
90.88,91.2,88.925,89.15,89.15,23020537.0,0.0,1.0,2,2022-12-19
91.2,91.75,90.01,90.86,90.86,48485507.0,0.0,1.0,2,2022-12-16
93.54,94.03,90.43,91.2,91.2,28298756.0,0.0,1.0,2,2022-12-15
95.54,97.22,93.94,95.31,95.31,26452939.0,0.0,1.0,2,2022-12-14
98.07,99.8,95.38,95.85,95.85,34788522.0,0.0,1.0,2,2022-12-13
93.09,93.8745,91.9,93.56,93.56,27380948.0,0.0,1.0,2,2022-12-12
278.255,287.55,277.31,286.8,286.8,36149408.0,0.0,1.0,3,2023-05-05
276.51,278.59,272.4,275.62,275.62,32185041.0,0.0,1.0,3,2023-05-04
278.4,283.67,274.72,278.02,278.02,38338740.0,0.0,1.0,3,2023-05-03
286.8,288.3599,280.83,282.1,282.1,40272957.0,0.0,1.0,3,2023-05-02
278.4,290.5844,277.8,289.1,289.1,57032853.0,0.0,1.0,3,2023-05-01
272.25,277.58,270.7148,277.49,277.49,29221614.0,0.0,1.0,3,2023-04-28
273.63,274.95,266.2501,272.26,272.26,37716119.0,0.0,1.0,3,2023-04-27
270.02,273.3,267.051,269.56,269.56,40449391.0,0.0,1.0,3,2023-04-26
270.78,272.47,262.25,262.41,262.41,37852716.0,0.0,1.0,3,2023-04-25
